"","index","Year.of.Sighting","Season","County","State","Class","Number.of.Witnesses","Environment","season_order","season_start_index"
"1",1,1980,"Fall","Barnstable","MA","C",2,"Woods",1,1
"2",2,2015,"Fall","Berkshire","MA","B",1,"Woods, Rocks",1,1
"3",3,2014,"Fall","Berkshire","MA","B",2,"Woods, Lake",1,1
"4",4,2015,"Fall","Berkshire","MA","B",3,"Lake",1,1
"5",5,2000,"Fall","Hampden","MA","B",1,"Mountains, Woods",1,1
"6",6,2000,"Fall","Plymouth","MA","B",1,"Woods, Lake",1,1
"7",7,1977,"Winter","Barnstable","MA","B",1,"Woods",2,7
"8",8,2016,"Winter","Berkshire","MA","B",1,"Snow",2,7
"9",9,2012,"Winter","Berkshire","MA","B",2,"Woods",2,7
"10",10,2009,"Winter","Bristol","MA","B",3,"Snow",2,7
"11",11,2010,"Winter","Hampden","MA","B",2,"Woods",2,7
"12",12,1977,"Winter","Plymouth","MA","A",2,"Swamp, Woods",2,7
"13",13,2016,"Winter","Worcester","MA","A",2,"Woods",2,7
"14",14,2016,"Spring","Berkshire","MA","B",2,"Woods",3,14
"15",15,1978,"Spring","Essex","MA","A",2,"Swamp, Woods",3,14
"16",16,1998,"Spring","Hampshire","MA","B",5,"Woods",3,14
"17",17,2009,"Spring","Plymouth","MA","B",1,"Woods",3,14
"18",18,2015,"Spring","Plymouth","MA","B",3,"Woods, Lake",3,14
"19",19,2008,"Spring","Worcester","MA","A",1,"Woods",3,14
"20",20,2016,"Spring","Worcester","MA","B",2,"Swamp",3,14
"21",21,2015,"Summer","Berkshire","MA","A",1,"Field",4,21
"22",22,1989,"Summer","Berkshire","MA","A",1,"Woods",4,21
"23",23,2009,"Summer","Bristol","MA","A",2,"Woods",4,21
"24",24,1996,"Summer","Essex","MA","B",2,"Woods",4,21
"25",25,2006,"Summer","Franklin","MA","B",2,"Lake",4,21
"26",26,2020,"Summer","Hampshire","MA","B",2,"Mountains, Woods",4,21
"27",27,2013,"Summer","Plymouth","MA","A",1,"Woods",4,21
"28",28,1979,"Summer","Plymouth","MA","B",2,"Woods",4,21
"29",29,2010,"Summer","Worcester","MA","B",2,"Woods",4,21
